,u_x,u_y,u_z,sos,Time-stamp,t,V,Uxy,Theta,Turb_intensity
205,3.14,-0.37,1.42,338.74,2017-03-27 06:53:07,51,3.46596306962,3.16172421315,-24.1858987952,15.6017094177
206,3.52,-0.17,1.52,338.75,2017-03-27 06:53:07,51,3.8379291291,3.52410272268,-23.3312836138,15.6017094177
207,2.68,-0.46,1.19,338.73,2017-03-27 06:53:08,52,2.96818126131,2.71919105618,-23.6356366405,15.4759871236
208,3.62,-1.69,1.06,338.74,2017-03-27 06:53:08,52,4.13329166646,3.99505944887,14.8597703184,15.4759871236
209,3.28,-1.54,1.03,338.73,2017-03-27 06:53:08,52,3.76708109814,3.6235341864,15.8679526845,15.4759871236
210,4.28,-0.55,1.48,338.75,2017-03-27 06:53:08,52,4.56194037664,4.31519408602,-18.9306427638,15.4759871236
211,3.9,-0.88,1.22,338.79,2017-03-27 06:53:09,53,4.18004784662,3.99804952446,16.9695053851,15.9928678367
212,3.23,-0.87,1.89,338.77,2017-03-27 06:53:09,53,3.84212180963,3.34511584254,29.4665722542,15.9928678367
213,3.21,-1.25,2.07,338.74,2017-03-27 06:53:09,53,4.01889288237,3.44479317231,31.0019484295,15.9928678367
214,3.26,-1.02,2.14,338.7,2017-03-27 06:53:09,53,4.03083117979,3.41584542976,32.0668165562,15.9928678367
215,3.08,-1.0,1.47,338.78,2017-03-27 06:53:10,54,3.55630426145,3.23827114368,24.4154799269,16.9115039764
216,2.66,-0.85,1.23,338.82,2017-03-27 06:53:10,54,3.05139312446,2.79250783347,23.7717780973,16.9115039764
217,2.69,-1.16,1.53,338.79,2017-03-27 06:53:10,54,3.30493570285,2.92945387402,-27.5772391995,16.9115039764
218,2.89,-0.59,1.23,338.78,2017-03-27 06:53:10,54,3.19579411102,2.94961014373,22.6363443816,16.9115039764
219,3.24,0.69,0.93,338.79,2017-03-27 06:53:11,55,3.44072666744,3.31265754342,15.681627851,17.1766293981
220,2.05,0.32,2.18,338.81,2017-03-27 06:53:11,55,3.00953484778,2.07482529385,46.4160017035,17.1766293981
221,2.99,1.02,2.0,338.71,2017-03-27 06:53:11,55,3.73905068166,3.15919293491,32.3367996604,17.1766293981
